Year,Any Opioid,"Synthetic opioid analgesics, excluding methadone (e.g., fentanyl, tramadol)",Commonly Prescribed Opioids(Natural & Semi-Synthetic Opioids and Methadone),Heroin
2000,3.00,0.30,1.30,0.70
2001,3.30,0.30,1.70,0.60
2002,4.10,0.40,2.30,0.70
2003,4.50,0.50,2.60,0.70
2004,4.70,0.60,2.90,0.60
2005,5.10,0.60,3.20,0.70
2006,5.90,0.90,3.90,0.70
2007,6.10,0.70,4.20,0.80
2008,6.40,0.80,4.30,1.00
2009,6.60,1.00,4.40,1.10
2010,6.80,1.00,4.70,1.00
2011,7.30,0.80,4.90,1.40
2012,7.40,0.80,4.50,1.90
2013,7.90,1.00,4.40,2.70
2014,9.00,1.80,4.60,3.40
2015,10.40,3.10,4.70,4.10
2016,13.30,6.20,5.20,4.90
2017,14.90,9.00,5.20,4.90
